repo,revision,parquet_path,bytes,expected_sha256,actual_sha256,verified,status,local_path
SALT-NLP/mmlu-pro-context-baseline-gpt55,4aa7a7e7acdb654d73c17b4bedf7db68120df82f,data/train-00000-of-00001.parquet,1186177,04b1a03ee0cc6390c5e2cd6b273c144a2de2b301f86472f5cf832bc1cdc32c44,04b1a03ee0cc6390c5e2cd6b273c144a2de2b301f86472f5cf832bc1cdc32c44,True,cached,SALT-NLP--mmlu-pro-context-baseline-gpt55/4aa7a7e7acdb654d73c17b4bedf7db68120df82f/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-gpt55,4c078cfad7faf89f0b8daa690cc862ee0e3183bb,data/train-00000-of-00001.parquet,1856251,8e28e1f102eda8abd88088696a511a28846efa09ee1b68968f0bbd658d62a46a,8e28e1f102eda8abd88088696a511a28846efa09ee1b68968f0bbd658d62a46a,True,cached,SALT-NLP--mmlu-pro-ctx-screen-gpt55/4c078cfad7faf89f0b8daa690cc862ee0e3183bb/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-context-baseline-gpt54-10k,c74b2079de23fc96327b265926f435d73317c637,data/train-00000-of-00001.parquet,1403818,70b726f038c24fb54e5c9b9f8cfb92f73e5cccbe34a499cf2fb59bedf2786dbc,70b726f038c24fb54e5c9b9f8cfb92f73e5cccbe34a499cf2fb59bedf2786dbc,True,cached,SALT-NLP--mmlu-pro-context-baseline-gpt54-10k/c74b2079de23fc96327b265926f435d73317c637/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-gpt54-10k,b95aa07028e31f81936f3710fe2fdc8791fd6cce,data/train-00000-of-00001.parquet,2041846,fad12b730bdbc89c6976c623ed565ed06b77a54a0bcb1c2e74457b481dff5b0c,fad12b730bdbc89c6976c623ed565ed06b77a54a0bcb1c2e74457b481dff5b0c,True,cached,SALT-NLP--mmlu-pro-ctx-screen-gpt54-10k/b95aa07028e31f81936f3710fe2fdc8791fd6cce/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-context-baseline-gpt41,b64ed1b99f67298257856052b6f70dc565273389,data/train-00000-of-00001.parquet,3873356,853a34a176d8cdfea3470150f7b5afa8895175669768c73014f587bb615794fb,853a34a176d8cdfea3470150f7b5afa8895175669768c73014f587bb615794fb,True,cached,SALT-NLP--mmlu-pro-context-baseline-gpt41/b64ed1b99f67298257856052b6f70dc565273389/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-gpt41,e71c9c758e9a59860a294e14cbd4924cddfa50c4,data/train-00000-of-00001.parquet,4979830,e843b0a6c9471ffb8374a77fa0cd071dd26cf8682a00aa841e7053310cd5f669,e843b0a6c9471ffb8374a77fa0cd071dd26cf8682a00aa841e7053310cd5f669,True,cached,SALT-NLP--mmlu-pro-ctx-screen-gpt41/e71c9c758e9a59860a294e14cbd4924cddfa50c4/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-context-baseline-deep,ab4fa0c8798eb33a6ba6764dab1ce664f688ef77,data/train-00000-of-00001.parquet,2477492,6d20004b95c9750ab5c544e0dee7046c5350c352977d9b3cf4cedf6bdf3e3098,6d20004b95c9750ab5c544e0dee7046c5350c352977d9b3cf4cedf6bdf3e3098,True,cached,SALT-NLP--mmlu-pro-context-baseline-deep/ab4fa0c8798eb33a6ba6764dab1ce664f688ef77/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-deep,fbd7795ee978bf9344c3fe758daabcc0bad3075a,data/train-00000-of-00001.parquet,3075061,2759b848519f1dce71b10d2b38c4342f576b34ce68a76e8d369cfbbbeeebf8db,2759b848519f1dce71b10d2b38c4342f576b34ce68a76e8d369cfbbbeeebf8db,True,cached,SALT-NLP--mmlu-pro-ctx-screen-deep/fbd7795ee978bf9344c3fe758daabcc0bad3075a/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-context-baseline-grok,a47392654cbae06be6aff52979a9eded6de1c68e,data/train-00000-of-00001.parquet,3198482,f0998dd155f40285ab1b378ace814107e77f395c248975f2e4450cac4a32a005,f0998dd155f40285ab1b378ace814107e77f395c248975f2e4450cac4a32a005,True,cached,SALT-NLP--mmlu-pro-context-baseline-grok/a47392654cbae06be6aff52979a9eded6de1c68e/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-grok,d4ba28dac3f156c9a4f8ad11fe45bbeccba6ce06,data/train-00000-of-00001.parquet,3837809,c6194293dbf730dae1b9d91c89812c35dc61eb655648e3269f4809c476925dcd,c6194293dbf730dae1b9d91c89812c35dc61eb655648e3269f4809c476925dcd,True,cached,SALT-NLP--mmlu-pro-ctx-screen-grok/d4ba28dac3f156c9a4f8ad11fe45bbeccba6ce06/data/train-00000-of-00001.parquet
